Episode,Cumulative
1,-1.00028
2,-2.0022599999999997
3,-3.003920000000002
4,-4.006720000000006
5,-5.006720000000006
6,-6.006820000000006
7,-7.007420000000004
8,-8.0089
9,-9.010299999999997
10,-10.011359999999996
11,-11.011759999999995
12,-12.012239999999995
13,-13.012939999999993
14,-14.013239999999993
15,-15.013339999999992
16,-16.01577999999999
17,-17.017539999999986
18,-18.017639999999986
19,-19.018039999999985
20,-20.02041999999998
21,-21.022779999999976
22,-22.023659999999975
23,-23.024339999999974
24,-24.02689999999997
25,-25.02689999999997
26,-26.02803999999997
27,-27.028899999999968
28,-28.029099999999968
29,-29.030639999999966
30,-30.032659999999964
31,-31.03469999999996
32,-32.03469999999996
33,-33.03706
34,-34.03784000000002
35,-35.040140000000065
36,-36.040620000000075
37,-37.041100000000085
38,-38.047040000000266
39,-39.04802000000029
40,-40.054080000000454
41,-41.055160000000484
42,-42.05748000000054
43,-43.05806000000055
44,-44.061700000000656
45,-45.06304000000068
46,-46.068620000000806
47,-47.07076000000086
48,-48.07634000000098
49,-49.078600000001046
50,-50.07958000000107
51,-51.08200000000113
52,-52.08332000000115
53,-53.08756000000125
54,-54.08774000000125
55,-55.08892000000128
56,-56.0906000000013
57,-57.091960000001336
58,-58.094320000001375
59,-59.09568000000141
60,-60.09578000000141
61,-61.097020000001436
62,-62.098100000001466
63,-63.099320000001484
64,-64.1060400000016
65,-65.10662000000161
66,-66.10732000000164
67,-67.11128000000173
68,-68.11230000000174
69,-69.11338000000177
70,-70.11444000000179
71,-71.1146400000018
72,-72.11512000000181
73,-73.11716000000186
74,-74.11832000000189
75,-75.11842000000189
76,-76.12176000000198
77,-77.12430000000205
78,-78.12430000000205
79,-79.12498000000207
80,-80.1273400000021
81,-81.13208000000225
82,-82.13278000000227
83,-83.13338000000229
84,-84.13498000000234
85,-85.13806000000244
86,-86.13806000000244
87,-87.14052000000251
88,-88.14134000000251
89,-89.14298000000255
90,-90.14418000000259
91,-91.1444800000026
92,-92.1444800000026
93,-93.14488000000262
94,-94.14644000000266
95,-95.14702000000267
96,-96.1481000000027
97,-97.14926000000273
98,-98.15082000000277
99,-99.15314000000282
100,-100.15420000000285
101,-101.15430000000285
102,-102.15508000000287
103,-103.15528000000288
104,-104.1564400000029
105,-105.15832000000296
106,-106.15860000000296
107,-107.16112000000302
108,-108.16320000000309
109,-109.16320000000309
110,-110.16428000000312
111,-111.16486000000313
112,-112.16554000000315
113,-113.16584000000316
114,-114.16756000000319
115,-115.16854000000322
116,-116.17014000000327
