Episode,Cumulative
1,-1.00028
2,-2.0023400000000002
3,-3.004260000000002
4,-4.005900000000004
5,-5.006480000000003
6,-6.006680000000003
7,-7.006680000000003
8,-8.007560000000002
9,-9.00918
10,-10.00918
11,-11.011220000000002
12,-12.012520000000002
13,-13.013000000000002
14,-14.0134
15,-15.014580000000002
16,-16.015040000000003
17,-17.015140000000002
18,-18.01638
19,-19.01764
20,-20.01886
21,-21.01978
22,-22.01988
23,-23.02016
24,-24.02026
25,-25.02094
26,-26.0227
27,-27.02308
28,-28.02392
29,-29.02612
30,-30.02702
31,-31.02786
32,-32.027860000000004
33,-33.02928000000003
34,-34.029840000000036
35,-35.03068000000005
36,-36.03068000000005
37,-37.031240000000054
38,-38.03228000000007
39,-39.03342000000009
40,-40.03830000000019
41,-41.03898000000021
42,-42.03898000000021
43,-43.03946000000022
44,-44.04108000000025
45,-45.042020000000264
46,-46.044480000000306
47,-47.04904000000039
48,-48.05300000000045
49,-49.053100000000455
50,-50.053880000000476
51,-51.05674000000053
52,-52.060560000000606
53,-53.06120000000061
54,-54.062020000000615
55,-55.065020000000686
56,-56.06746000000072
57,-57.07096000000078
58,-58.071220000000785
59,-59.07132000000079
60,-60.07706000000088
61,-61.079600000000916
62,-62.083020000000985
63,-63.085560000001024
64,-64.09010000000107
65,-65.09410000000115
66,-66.09508000000115
67,-67.09816000000119
68,-68.0991800000012
69,-69.0991800000012
70,-70.10090000000123
71,-71.10168000000125
72,-72.10196000000126
73,-73.1038800000013
74,-74.10584000000132
75,-75.10634000000134
76,-76.10750000000137
77,-77.11036000000139
78,-78.11036000000139
79,-79.11356000000144
80,-80.11690000000151
81,-81.11748000000152
82,-82.12410000000163
83,-83.12456000000164
84,-84.12494000000164
85,-85.12750000000169
86,-86.12758000000169
87,-87.12768000000169
88,-88.13086000000173
89,-89.13124000000174
90,-90.13310000000179
91,-91.1339600000018
92,-92.13832000000191
93,-93.13832000000191
94,-94.13882000000193
95,-95.14120000000197
96,-96.14160000000199
97,-97.14648000000209
98,-98.14748000000212
99,-99.14788000000213
100,-100.15064000000221
101,-101.15104000000223
102,-102.15566000000233
103,-103.15648000000233
104,-104.1597400000024
105,-105.16004000000241
106,-106.16004000000241
107,-107.16072000000243
108,-108.16112000000244
109,-109.16152000000245
110,-110.16180000000246
111,-111.1637200000025
112,-112.16502000000251
113,-113.16502000000251
114,-114.16636000000254
115,-115.16788000000257
116,-116.16818000000258
117,-117.16902000000259
118,-118.1692200000026
119,-119.17002000000262
120,-120.17022000000263
121,-121.17100000000265
122,-122.17246000000269
123,-123.17474000000273
124,-124.17532000000274
125,-125.17552000000275
126,-126.17714000000278
127,-127.1780000000028
128,-128.1795200000028
129,-129.1795200000028
130,-130.18092000000283
131,-131.18308000000286
132,-132.18384000000287
133,-133.18412000000288
134,-134.18468000000288
135,-135.1850800000029
136,-136.1850800000029
137,-137.1855400000029
138,-138.1858400000029
139,-139.18726000000294
140,-140.18726000000294
141,-141.18726000000294
142,-142.18812000000295
143,-143.18832000000296
144,-144.18974000000298
145,-145.190600000003
146,-146.191260000003
147,-147.19194000000303
148,-148.19270000000304
149,-149.1951000000031
150,-150.1957600000031
151,-151.1965000000031
152,-152.19858000000315
153,-153.19868000000315
154,-154.19868000000315
155,-155.2009600000032
156,-156.20320000000322
157,-157.20386000000323
158,-158.20406000000324
159,-159.20650000000327
160,-160.20676000000327
161,-161.2084800000033
162,-162.20954000000333
163,-163.21020000000334
164,-164.21048000000334
165,-165.21212000000338
166,-166.2134200000034
167,-167.21422000000342
168,-168.21690000000348
169,-169.2177000000035
170,-170.2177000000035
171,-171.22144000000358
172,-172.22586000000368
173,-173.22988000000376
174,-174.23514000000384
175,-175.23514000000384
176,-176.23630000000387
177,-177.2378000000039
178,-178.2388400000039
179,-179.24144000000396
180,-180.243140000004
181,-181.24474000000401
182,-182.24514000000403
183,-183.24522000000402
184,-184.2491800000041
185,-185.25340000000415
186,-186.25616000000417
187,-187.2587400000042
188,-188.2593800000042
189,-189.26172000000423
190,-190.26742000000434
191,-191.26816000000434
192,-192.26834000000434
193,-193.27160000000438
194,-194.27564000000442
195,-195.27702000000443
196,-196.27720000000443
197,-197.27956000000447
198,-198.28424000000456
199,-199.2862600000046
200,-200.28820000000462
201,-201.28962000000465
202,-202.28962000000465
203,-203.29010000000466
204,-204.29306000000471
205,-205.29334000000472
206,-206.29334000000472
207,-207.29542000000475
