Episode,Cumulative
1,-1.00044
2,-2.00258
3,-3.004560000000003
4,-4.008160000000007
5,-5.008160000000007
6,-6.008260000000007
7,-7.008860000000006
8,-8.010500000000002
9,-9.011899999999999
10,-10.013279999999996
11,-11.013679999999995
12,-12.014319999999994
13,-13.015019999999993
14,-14.015319999999992
15,-15.015419999999992
16,-16.018339999999988
17,-17.020419999999987
18,-18.020519999999987
19,-19.020919999999986
20,-20.023459999999982
21,-21.02613999999998
22,-22.02717999999998
23,-23.02801999999998
24,-24.030899999999978
25,-25.030899999999978
26,-26.032519999999977
27,-27.03369999999998
28,-28.033899999999978
29,-29.03591999999998
30,-30.038579999999982
31,-31.041099999999982
32,-32.041099999999986
33,-33.04458000000003
34,-34.04552000000005
35,-35.048620000000106
36,-36.04926000000012
37,-37.04990000000013
38,-38.05632000000031
39,-39.05746000000034
40,-40.06464000000051
41,-41.06588000000054
42,-42.0688400000006
43,-43.06958000000061
44,-44.07370000000072
45,-45.07552000000075
46,-46.082860000000885
47,-47.08548000000094
48,-48.092820000001076
49,-49.09540000000114
50,-50.09654000000117
51,-51.09960000000123
52,-52.10156000000126
53,-53.10708000000136
54,-54.10742000000136
55,-55.108760000001396
56,-56.111400000001424
57,-57.11308000000146
58,-58.116560000001506
59,-59.11824000000154
60,-60.118340000001545
61,-61.12006000000157
62,-62.121300000001604
63,-63.123160000001626
64,-64.13292000000176
65,-65.13366000000177
66,-66.13436000000179
67,-67.13944000000185
68,-68.14110000000186
69,-69.14234000000188
70,-70.14372000000189
71,-71.1439200000019
72,-72.1445600000019
73,-73.14708000000194
74,-74.14856000000195
75,-75.14866000000195
76,-76.15248000000203
77,-77.15550000000208
78,-78.15550000000208
79,-79.15634000000209
80,-80.15982000000209
81,-81.16504000000221
82,-82.16574000000223
83,-83.16634000000225
84,-84.1679400000023
85,-85.1711800000024
86,-86.1711800000024
87,-87.17396000000245
88,-88.17542000000243
89,-89.17754000000245
90,-90.17874000000249
91,-91.1790400000025
92,-92.1790400000025
93,-93.17944000000251
94,-94.18132000000254
95,-95.18206000000255
96,-96.18330000000257
97,-97.18478000000259
98,-98.18666000000262
99,-99.18962000000266
100,-100.19100000000269
101,-101.19110000000269
102,-102.1920400000027
103,-103.19224000000271
104,-104.19372000000273
105,-105.19576000000278
106,-106.19620000000279
107,-107.19936000000283
108,-108.20160000000288
109,-109.20160000000288
110,-110.20284000000291
111,-111.20358000000292
112,-112.20442000000293
113,-113.20472000000294
114,-114.20708000000296
115,-115.20822000000298
116,-116.20982000000303
117,-117.20982000000303
118,-118.21076000000305
119,-119.21096000000306
120,-120.21230000000308
121,-121.2132400000031
122,-122.21374000000311
123,-123.21528000000315
124,-124.21836000000322
125,-125.21910000000322
126,-126.22142000000325
127,-127.22152000000325
128,-128.2239000000033
129,-129.22716000000335
130,-130.22726000000335
131,-131.22794000000334
132,-132.23198000000338
133,-133.23252000000338
134,-134.23546000000346
135,-135.23576000000347
136,-136.2375400000035
137,-137.2388200000035
138,-138.24270000000357
139,-139.24374000000358
140,-140.25386000000373
141,-141.25396000000373
142,-142.25730000000382
143,-143.25848000000383
144,-144.26494000000392
145,-145.271920000004
146,-146.27528000000405
147,-147.27642000000407
148,-148.28356000000414
149,-149.28612000000416
150,-150.29394000000428
151,-151.30880000000454
152,-152.31976000000466
153,-153.33226000000474
154,-154.33266000000475
155,-155.33642000000472
156,-156.33874000000475
157,-157.33968000000476
158,-158.3440200000048
159,-159.34442000000482
160,-160.34486000000481
161,-161.34940000000486
162,-162.35462000000496
163,-163.35718000000497
164,-164.3646000000051
165,-165.3690400000052
166,-166.3690400000052
167,-167.37790000000533
168,-168.38092000000537
169,-169.3863400000055
170,-170.38694000000552
171,-171.39494000000562
172,-172.39744000000562
173,-173.4036200000057
174,-174.40816000000575
175,-175.40940000000577
176,-176.41232000000582
177,-177.4182400000059
178,-178.42096000000595
179,-179.43122000000605
180,-180.4338000000061
181,-181.44032000000618
182,-182.4413600000062
183,-183.44800000000626
184,-184.44894000000627
185,-185.45046000000627
186,-186.4519400000063
187,-187.4520400000063
188,-188.45966000000644
189,-189.46204000000648
190,-190.4624400000065
191,-191.46412000000652
192,-192.4658800000065
193,-193.4678800000065
194,-194.46992000000654
195,-195.47146000000657
196,-196.47694000000664
197,-197.48302000000672
198,-198.48346000000672
199,-199.48594000000676
200,-200.49014000000685
201,-201.50074000000697
202,-202.50378000000697
203,-203.51752000000718
204,-204.5248400000073
205,-205.53224000000736
206,-206.53308000000737
207,-207.54278000000744
208,-208.54480000000748
209,-209.55048000000755
210,-210.55102000000755
211,-211.56418000000764
212,-212.58448000000791
213,-213.59102000000806
214,-214.5934400000081
215,-215.60470000000822
216,-216.61336000000836
217,-217.61998000000844
218,-218.6231000000085
219,-219.63590000000863
220,-220.64408000000876
221,-221.65404000000888
222,-222.65822000000898
223,-223.65822000000898
224,-224.6655600000091
225,-225.6666000000091
226,-226.6893200000094
227,-227.6956600000095
228,-228.70350000000963
229,-229.70464000000965
230,-230.7072200000097
231,-231.71550000000988
232,-232.7157000000099
233,-233.72050000000996
234,-234.74204000001026
235,-235.74396000001028
236,-236.7443600000103
237,-237.74846000001034
238,-238.7522200000104
239,-239.76078000001044
240,-240.77906000001065
241,-241.79176000001075
242,-242.80296000001087
243,-243.81502000001095
244,-244.81562000001097
245,-245.81808000001098
246,-246.821680000011
247,-247.82580000001107
248,-248.8266000000111
249,-249.8279600000111
250,-250.8297800000111
251,-251.83190000001113
252,-252.8383400000112
253,-253.83988000001122
254,-254.84480000001125
255,-255.84624000001128
256,-256.8469800000113
257,-257.8493800000111
258,-258.8501800000109
259,-259.8579600000099
260,-260.92898000000105
261,-261.9353600000004
262,-262.9417799999998
263,-263.9916399999932
264,-265.0141599999905
265,-266.08323999998083
266,-267.1063399999778
267,-268.10949999997734
268,-269.1340799999737
269,-270.1385399999733
270,-271.20347999996426
271,-272.31917999994954
272,-273.38633999994136
273,-274.4127999999382
274,-275.41299999993817
275,-276.41441999993805
276,-277.422639999937
277,-278.4327999999356
278,-279.4380799999348
279,-280.4956799999275
280,-281.5191199999245
281,-282.57291999991816
282,-283.64159999990983
283,-284.78443999989236
284,-285.79067999989167
285,-286.7920999998915
286,-287.9575399998703
287,-289.03995999985966
288,-290.0536999998575
289,-291.0726399998548
290,-292.08741999985284
291,-293.1208399998479
292,-294.1406999998452
293,-295.14723999984443
294,-296.1600799998425
295,-297.1731399998407
296,-298.18933999983824
297,-299.19609999983726
298,-300.25661999982907
299,-301.4292599998061
300,-302.55487999978834
301,-303.71651999976893
302,-304.76627999976154
303,-305.9985199997296
304,-307.2386199997007
305,-308.3310399996881
306,-309.3464999996857
307,-310.3465999996857
308,-311.40311999967764
309,-312.6110199996505
310,-313.6869799996413
311,-314.6870799996413
312,-314.36461999955185
313,-315.3879799995487
314,-316.4469599995408
315,-317.5665599995239
316,-318.5711199995235
317,-319.60889999951735
318,-320.6611999995094
319,-321.6655399995088
320,-322.7619399994961
321,-321.7872199994927
322,-322.84465999948515
323,-323.85747999948336
324,-324.9311599994738
325,-326.0876599994516
326,-327.1771799994393
327,-328.25939999942926
328,-329.32429999942013
329,-330.863279999345
330,-331.93759999933377
331,-330.9723599993285
332,-332.09907999931045
333,-333.1387599993061
334,-332.2581599992912
335,-333.54753999925055
336,-334.9047999992076
337,-335.91549999920693
338,-336.924919999206
339,-337.92745999920584
340,-338.93431999920483
341,-339.93913999920426
342,-340.941739999204
343,-341.9434599992038
344,-342.95767999920207
345,-343.9688599992006
346,-344.9745799991998
347,-345.97659999919955
348,-346.9803599991989
349,-347.9807999991989
350,-348.9825199991987
351,-349.98493999919833
352,-350.98975999919776
353,-351.99581999919695
354,-352.9962599991969
355,-353.9974399991968
356,-354.99763999919674
357,-356.00627999919544
358,-357.00661999919544
359,-358.00981999919503
360,-359.01245999919445
361,-360.01931999919344
362,-361.0272399991921
363,-362.02955999919175
364,-363.03779999919055
365,-364.0446199991895
366,-365.0514799991881
367,-366.0641999991863
368,-367.06667999918585
369,-368.0679199991856
370,-369.06811999918557
371,-370.0784399991836
372,-371.0831199991826
373,-372.08925999918154
374,-373.09151999918123
375,-374.09261999918095
376,-375.0929199991809
377,-376.10233999917915
378,-377.10615999917843
379,-378.119399999176
380,-379.1222199991755
381,-380.1236999991753
382,-381.1320599991739
383,-382.1518999991702
384,-383.15329999916986
385,-384.1578399991692
386,-385.1665399991678
387,-386.1795799991662
388,-387.2095399991618
389,-388.246279999157
390,-389.29421999914905
391,-390.30753999914674
392,-391.3106599991462
393,-392.41479999913156
394,-393.45253999912615
395,-394.4592199991254
396,-395.547399999113
397,-396.6058999991051
398,-397.7386999990876
399,-398.7804999990823
400,-399.8586399990711
401,-401.086719999039
402,-402.27291999901377
403,-403.47801999898724
404,-405.1266399989042
405,-406.15619999890066
