Episode,Cumulative
1,-1.0002
2,-2.0020999999999995
3,-3.0036000000000027
4,-4.006000000000007
5,-5.006000000000007
6,-6.006100000000007
7,-7.006700000000006
8,-8.008100000000002
9,-9.0095
10,-10.010399999999997
11,-11.010799999999996
12,-12.011199999999995
13,-13.011899999999994
14,-14.012199999999993
15,-15.012299999999993
16,-16.014499999999988
17,-17.016099999999984
18,-18.016199999999984
19,-19.016599999999983
20,-20.018899999999977
21,-21.021099999999972
22,-22.02189999999997
23,-23.02249999999997
24,-24.024899999999963
25,-25.024899999999963
26,-26.02579999999996
27,-27.02649999999996
28,-28.02669999999996
29,-29.027999999999956
30,-30.029699999999952
31,-31.031499999999948
32,-32.03149999999995
33,-33.03330000000001
34,-34.034000000000034
35,-35.0359000000001
36,-36.03630000000011
37,-37.036700000000124
38,-38.04240000000031
39,-39.04330000000034
40,-40.048800000000526
41,-41.04980000000056
42,-42.051800000000625
43,-43.05230000000064
44,-44.055700000000755
45,-45.05680000000079
46,-46.06150000000095
47,-47.06340000000101
48,-48.06810000000117
49,-49.070200000001236
50,-50.071100000001266
51,-51.073200000001336
52,-52.07420000000137
53,-53.07780000000149
54,-54.07790000000149
55,-55.07900000000153
56,-56.08020000000157
57,-57.08140000000161
58,-58.08320000000167
59,-59.08440000000171
60,-60.08450000000171
61,-61.085500000001744
62,-62.08650000000178
63,-63.08740000000181
64,-64.09260000000198
65,-65.093100000002
66,-66.09380000000202
67,-67.09720000000213
68,-68.09790000000216
69,-69.09890000000219
70,-70.09980000000222
71,-71.10000000000223
72,-72.10040000000224
73,-73.1022000000023
74,-74.10320000000233
75,-75.10330000000233
76,-76.10640000000244
77,-77.10870000000251
78,-78.10870000000251
79,-79.10930000000253
80,-80.1111000000026
81,-81.11560000000274
82,-82.11630000000277
83,-83.11690000000279
84,-84.11850000000284
85,-85.12150000000294
86,-86.12150000000294
87,-87.12380000000302
88,-88.12430000000303
89,-89.12570000000308
90,-90.12690000000312
91,-91.12720000000313
92,-92.12720000000313
93,-93.12760000000314
94,-94.12900000000319
95,-95.1295000000032
96,-96.13050000000324
97,-97.13150000000327
98,-98.13290000000332
99,-99.13490000000338
100,-100.13580000000341
101,-101.13590000000342
102,-102.13660000000344
103,-103.13680000000345
104,-104.13780000000348
105,-105.13960000000354
106,-106.13980000000355
107,-107.14200000000362
108,-108.14400000000369
109,-109.14400000000369
110,-110.14500000000372
111,-111.14550000000374
112,-112.14610000000376
113,-113.14640000000377
114,-114.14780000000381
115,-115.14870000000384
116,-116.1503000000039
117,-117.1503000000039
118,-118.15100000000392
119,-119.15120000000393
120,-120.15230000000396
121,-121.15300000000398
122,-122.153500000004
123,-123.15480000000404
124,-124.15740000000413
125,-125.15790000000415
126,-126.1595000000042
127,-127.1596000000042
128,-128.16150000000425
129,-129.16380000000433
130,-130.16390000000433
131,-131.16410000000434
132,-132.16670000000443
133,-133.16700000000444
134,-134.16970000000453
135,-135.17000000000453
136,-136.17130000000458
137,-137.1721000000046
138,-138.17430000000468
139,-139.1751000000047
140,-140.18210000000494
141,-141.18220000000494
142,-142.18530000000504
143,-143.18600000000507
144,-144.1903000000052
145,-145.19440000000534
146,-146.19680000000542
147,-147.19770000000545
148,-148.2022000000056
149,-149.20380000000566
150,-150.22130000000624
151,-151.2289000000065
152,-152.23660000000675
153,-153.23700000000676
154,-154.2386000000068
155,-155.24020000000687
156,-156.2409000000069
157,-157.24380000000698
158,-158.244200000007
159,-159.244400000007
160,-160.2475000000071
161,-161.25080000000722
162,-162.25240000000727
163,-163.25790000000745
164,-164.26090000000755
165,-165.26090000000755
166,-166.26640000000774
167,-167.2687000000078
168,-168.27340000000797
169,-169.274000000008
170,-170.27960000000817
171,-171.28090000000822
172,-172.28430000000833
173,-173.28530000000836
174,-174.28840000000847
175,-175.2894000000085
176,-176.29350000000863
177,-177.2956000000087
178,-178.29760000000877
179,-179.304500000009
180,-180.30660000000907
181,-181.31120000000922
182,-182.31200000000925
183,-183.31520000000936
184,-184.31590000000938
185,-185.31750000000943
186,-186.31850000000946
187,-187.31860000000947
188,-188.32430000000966
189,-189.32620000000972
190,-190.32660000000973
191,-191.32780000000977
192,-192.3286000000098
193,-193.32940000000983
194,-194.3312000000099
195,-195.33250000000993
196,-196.33510000001002
197,-197.33910000001015
198,-198.33940000001016
