Episode,Cumulative
1,-1.0002
2,-2.0020999999999995
3,-3.003700000000003
4,-4.005100000000006
5,-5.005600000000005
6,-6.005800000000004
7,-7.005800000000004
8,-8.006600000000002
9,-9.0079
10,-10.0079
11,-11.009299999999996
12,-12.010199999999994
13,-13.010599999999993
14,-14.010999999999992
15,-15.01169999999999
16,-16.01199999999999
17,-17.01209999999999
18,-18.013099999999987
19,-19.014199999999985
20,-20.015099999999983
21,-21.01569999999998
22,-22.01579999999998
23,-23.01599999999998
24,-24.01609999999998
25,-25.01669999999998
26,-26.017899999999976
27,-27.018199999999975
28,-28.018799999999974
29,-29.02059999999997
30,-30.02109999999997
31,-31.021699999999967
32,-32.02169999999997
33,-33.022800000000004
34,-34.02320000000002
35,-35.02380000000004
36,-36.02380000000004
37,-37.02420000000005
38,-38.02500000000008
39,-39.02590000000011
40,-40.02990000000024
41,-41.03050000000026
42,-42.03050000000026
43,-43.03090000000027
44,-44.032200000000316
45,-45.03290000000034
46,-46.0348000000004
47,-47.03840000000052
48,-48.04140000000062
49,-49.041500000000624
50,-50.04220000000065
51,-51.044500000000724
52,-52.04760000000083
53,-53.04800000000084
54,-54.04850000000086
55,-55.05110000000094
56,-56.052900000001
57,-57.05560000000109
58,-58.055700000001096
59,-59.0558000000011
60,-60.06010000000124
61,-61.062000000001305
62,-62.064700000001395
63,-63.06660000000146
64,-64.06970000000156
65,-65.07290000000167
66,-66.07340000000168
67,-67.07560000000176
68,-68.07630000000178
69,-69.07630000000178
70,-70.07770000000183
71,-71.07840000000185
72,-72.07860000000186
73,-73.08020000000191
74,-74.08160000000196
75,-75.08210000000197
76,-76.083100000002
77,-77.08500000000207
78,-78.08500000000207
79,-79.08740000000215
80,-80.09010000000224
81,-81.09060000000225
82,-82.09570000000242
83,-83.09600000000243
84,-84.09630000000244
85,-85.09830000000251
86,-86.09830000000251
87,-87.09840000000251
88,-88.10070000000259
89,-89.1010000000026
90,-90.10270000000266
91,-91.10340000000268
92,-92.1072000000028
93,-93.1072000000028
94,-94.10770000000282
95,-95.10960000000289
96,-96.1100000000029
97,-97.11400000000303
98,-98.11500000000306
99,-99.11540000000308
100,-100.11800000000316
101,-101.11840000000318
102,-102.1223000000033
103,-103.12280000000332
104,-104.12550000000341
105,-105.12580000000342
106,-106.12580000000342
107,-107.12640000000344
108,-108.12680000000346
109,-109.12720000000347
110,-110.12740000000348
111,-111.12900000000353
112,-112.12990000000356
113,-113.12990000000356
114,-114.1310000000036
115,-115.13220000000364
116,-116.13250000000365
117,-117.13310000000367
118,-118.13330000000367
119,-119.1341000000037
120,-120.1343000000037
121,-121.13500000000373
122,-122.13630000000377
123,-123.13810000000383
124,-124.13860000000385
125,-125.13880000000385
126,-126.1401000000039
127,-127.14080000000392
128,-128.14200000000397
129,-129.14200000000397
130,-130.143000000004
131,-131.14460000000406
132,-132.14520000000408
133,-133.1454000000041
134,-134.1458000000041
135,-135.14620000000411
136,-136.14620000000411
137,-137.14650000000412
138,-138.14680000000413
139,-139.14790000000417
140,-140.14790000000417
141,-141.14790000000417
142,-142.1486000000042
143,-143.1488000000042
144,-144.14990000000424
145,-145.15060000000426
146,-146.15110000000428
147,-147.1517000000043
148,-148.15230000000432
149,-149.15430000000438
150,-150.1548000000044
151,-151.15530000000442
152,-152.15690000000447
153,-153.15700000000447
154,-154.15700000000447
155,-155.15880000000453
156,-156.16040000000459
157,-157.1609000000046
158,-158.1611000000046
159,-159.16290000000467
160,-160.16300000000467
161,-161.16440000000472
162,-162.16530000000475
163,-163.16580000000477
164,-164.16600000000477
165,-165.16740000000482
166,-166.16830000000485
167,-167.16910000000487
168,-168.17130000000495
169,-169.17210000000497
170,-170.17210000000497
171,-171.17520000000508
172,-172.1789000000052
173,-173.1822000000053
174,-174.18610000000544
175,-175.18610000000544
176,-176.18710000000547
177,-177.1882000000055
178,-178.18900000000554
179,-179.1912000000056
180,-180.19250000000565
181,-181.1937000000057
182,-182.1942000000057
183,-183.20230000000598
184,-184.20400000000603
185,-185.20440000000605
186,-186.2061000000061
187,-187.20960000000622
188,-188.21050000000625
189,-189.21120000000627
190,-190.21350000000635
191,-191.21610000000643
192,-192.21700000000646
193,-193.21710000000647
194,-194.21890000000653
195,-195.22270000000665
196,-196.2244000000067
197,-197.22570000000675
198,-198.2268000000068
