Episode,Cumulative
1,-1.00092
2,-2.00298
3,-3.00536
4,-4.011100000000001
5,-5.01232
6,-6.014259999999999
7,-7.016639999999998
8,-8.016639999999999
9,-9.016739999999999
10,-10.016739999999999
11,-11.019019999999996
12,-12.024399999999991
13,-13.024399999999991
14,-14.02449999999999
15,-15.032699999999984
16,-16.033099999999983
17,-17.033099999999983
18,-18.033439999999985
19,-19.033539999999984
20,-20.03615999999999
21,-21.037139999999994
22,-22.039619999999996
23,-23.043079999999996
24,-24.046139999999998
25,-25.04842
26,-26.04852
27,-27.04954
28,-28.049780000000002
29,-29.052060000000004
30,-30.056620000000006
31,-31.057340000000007
32,-32.05754
33,-33.06036000000002
34,-34.064000000000036
35,-35.064240000000034
36,-36.064240000000034
37,-37.066720000000046
38,-38.066960000000044
39,-39.06866000000005
40,-40.06866000000005
41,-41.072640000000064
42,-42.072640000000064
43,-43.074580000000076
44,-44.075460000000085
45,-45.075460000000085
46,-46.07628000000009
47,-47.07638000000009
48,-48.07638000000009
49,-49.077020000000104
50,-50.07804000000011
51,-51.07994000000012
52,-52.08212000000013
53,-53.08334000000014
54,-54.08412000000015
55,-55.08692000000015
56,-56.092300000000165
57,-57.092300000000165
58,-58.093220000000166
59,-59.09662000000018
60,-60.09774000000019
61,-61.09774000000019
62,-62.09832000000019
63,-63.1006000000002
64,-64.1006000000002
65,-65.1006000000002
66,-66.10104000000021
67,-67.10834000000017
68,-68.10844000000017
69,-69.11198000000014
70,-70.11208000000015
71,-71.11368000000014
72,-72.11848000000012
73,-73.12048000000011
74,-74.12650000000014
75,-75.12738000000014
76,-76.12884000000014
77,-77.12942000000014
78,-78.13010000000013
79,-79.13068000000013
80,-80.13370000000013
81,-81.13680000000014
82,-82.13738000000014
83,-83.13946000000013
84,-84.14610000000012
85,-85.14794000000012
86,-86.14974000000014
87,-87.15066000000013
88,-88.15372000000012
89,-89.15372000000012
90,-90.15552000000012
91,-91.16032000000011
92,-92.16332000000013
93,-93.16472000000013
94,-94.16612000000012
95,-95.17264000000011
96,-96.1787800000001
