Episode,Cumulative
1,-1.0002266666666666
2,-2.0021799999999996
3,-3.0038866666666686
4,-4.005366666666671
5,-5.005893333333336
6,-6.006093333333336
7,-7.006093333333336
8,-8.006920000000001
9,-9.008326666666665
10,-10.008326666666665
11,-11.009939999999997
12,-12.010973333333329
13,-13.011399999999995
14,-14.011799999999994
15,-15.012659999999993
16,-16.013013333333326
17,-17.013113333333326
18,-18.014193333333324
19,-19.015346666666655
20,-20.01635333333332
21,-21.017059999999987
22,-22.017159999999986
23,-23.017386666666653
24,-24.017486666666652
25,-25.018113333333318
26,-26.019499999999983
27,-27.01982666666665
28,-28.02050666666665
29,-29.02243999999998
30,-30.02307333333331
31,-31.02375333333331
32,-32.02375333333331
33,-33.02496
34,-34.02541333333334
35,-35.02609333333335
36,-36.02609333333335
37,-37.02654666666669
38,-38.027426666666706
39,-39.028406666666726
40,-40.032700000000155
41,-41.03332666666684
42,-42.03332666666684
43,-43.033753333333514
44,-44.03516000000021
45,-45.035940000000224
46,-46.03802666666693
47,-47.04194666666701
48,-48.04526666666707
49,-49.04536666666707
50,-50.04609333333376
51,-51.04858000000048
52,-52.05192000000055
53,-53.05240000000055
54,-54.05300666666722
55,-55.055740000000625
56,-56.05775333333399
57,-57.060720000000714
58,-58.06087333333405
59,-59.060973333334054
60,-60.065753333334136
61,-61.067866666667506
62,-62.07080666666757
63,-63.07292000000094
64,-64.07650000000098
65,-65.07996666666777
66,-66.0806266666678
67,-67.08312000000122
68,-68.0839266666679
69,-69.0839266666679
70,-70.08543333333462
71,-71.08616000000131
72,-72.08638666666799
73,-73.08809333333473
74,-74.08968000000147
75,-75.09018000000148
76,-76.09123333333486
77,-77.09345333333492
78,-78.09345333333492
79,-79.0961200000017
80,-80.09903333333514
81,-81.09956000000183
82,-82.10516666666871
83,-83.10552000000206
84,-84.10584666666874
85,-85.10803333333548
86,-86.10806000000215
87,-87.10816000000216
88,-88.11075333333558
89,-89.11108000000226
90,-90.11283333333566
91,-91.11358666666902
92,-92.11757333333584
93,-93.11757333333584
94,-94.11807333333586
95,-95.12013333333594
96,-96.12053333333596
97,-97.12482666666945
98,-98.12582666666948
99,-99.1262266666695
100,-100.12888000000292
101,-101.12928000000294
102,-102.13342000000308
103,-103.13402666666977
104,-104.13691333333654
105,-105.13721333333655
106,-106.13721333333655
107,-107.13784000000324
108,-108.13824000000325
109,-109.13864000000326
110,-110.13886666666994
111,-111.14057333333666
112,-112.14160666667003
113,-113.14160666667003
114,-114.14278666667008
115,-115.14409333333678
116,-116.1443933333368
117,-117.14507333333682
118,-118.14527333333683
119,-119.14607333333686
120,-120.14627333333686
121,-121.14700000000356
122,-122.14835333333694
123,-123.15031333333702
124,-124.15084000000371
125,-125.15104000000372
126,-126.15244666667043
127,-127.15320000000379
128,-128.1545066666705
129,-129.1545066666705
130,-130.15564000000384
131,-131.15742666667052
132,-132.15808000000385
133,-133.1583066666705
134,-134.15876000000384
135,-135.15916000000385
136,-136.15916000000385
137,-137.15951333333717
138,-138.15981333333718
139,-139.16102000000384
140,-140.16102000000384
141,-141.16102000000384
142,-142.16177333333718
143,-143.1619733333372
144,-144.16318000000388
145,-145.16393333333724
146,-146.16448666667057
147,-147.16511333333725
148,-148.16576666667058
149,-149.16790000000395
150,-150.16845333333728
151,-151.1690333333373
152,-152.17079333333731
153,-153.17089333333732
154,-154.17089333333732
155,-155.17285333333732
156,-156.17466666667062
157,-157.17522000000395
158,-158.17542000000395
159,-159.17743333333726
160,-160.17758666667058
161,-161.17909333333728
162,-162.18004666667062
163,-163.18060000000395
164,-164.1808266666706
165,-165.18230666667063
166,-166.18334000000397
167,-167.184140000004
168,-168.18650000000403
169,-169.18730000000406
170,-170.18730000000406
171,-171.1906133333374
172,-172.19455333333744
173,-173.19809333333745
174,-174.20244666667082
175,-175.20244666667082
176,-176.20350000000417
177,-177.20473333333751
178,-178.20561333333754
179,-179.2079466666709
180,-180.20938000000424
181,-181.2106866666709
182,-182.21121333333758
183,-183.22035333333767
184,-184.22234666667097
