Episode,Cumulative
1,-1.0002
2,-2.0012999999999996
3,-3.002000000000001
4,-4.003900000000005
5,-5.004400000000004
6,-6.004900000000003
7,-7.005600000000001
8,-8.005600000000001
9,-9.005700000000001
10,-10.005700000000001
11,-11.0063
12,-12.007599999999996
13,-13.007599999999996
14,-14.007699999999996
15,-15.009899999999991
16,-16.01029999999999
17,-17.01029999999999
18,-18.01039999999999
19,-19.01049999999999
20,-20.011199999999988
21,-21.011699999999987
22,-22.012499999999985
23,-23.013799999999982
24,-24.01469999999998
25,-25.01529999999998
26,-26.01539999999998
27,-27.015699999999978
28,-28.015699999999978
29,-29.016299999999976
30,-30.017499999999973
31,-31.017499999999973
32,-32.01769999999998
33,-33.018600000000006
34,-34.01960000000004
35,-35.01960000000004
36,-36.01960000000004
37,-37.020400000000066
38,-38.020400000000066
39,-39.02090000000008
40,-40.02090000000008
41,-41.02200000000012
42,-42.02200000000012
43,-43.022500000000136
44,-44.02290000000015
45,-45.02290000000015
46,-46.02300000000015
47,-47.023100000000156
48,-48.023100000000156
49,-49.02350000000017
50,-50.02380000000018
51,-51.0245000000002
52,-52.02500000000022
53,-53.025500000000235
54,-54.025800000000245
55,-55.02620000000026
56,-56.0275000000003
57,-57.0275000000003
58,-58.02770000000031
59,-59.02870000000034
60,-60.029100000000355
61,-61.029100000000355
62,-62.02920000000036
63,-63.02980000000038
64,-64.02980000000038
65,-65.02980000000038
66,-66.03000000000038
67,-67.03250000000047
68,-68.03260000000047
69,-69.0335000000005
70,-70.0336000000005
71,-71.03400000000052
72,-72.03520000000056
73,-73.03600000000058
74,-74.03770000000064
75,-75.03810000000065
76,-76.03860000000067
77,-77.03870000000067
78,-78.03890000000068
79,-79.03900000000068
80,-80.04010000000072
81,-81.04080000000074
82,-82.04090000000075
83,-83.04130000000076
84,-84.04290000000081
85,-85.04330000000083
86,-86.04390000000085
87,-87.04410000000085
88,-88.04500000000088
89,-89.04500000000088
90,-90.0456000000009
91,-91.04680000000094
92,-92.04740000000096
93,-93.04760000000097
94,-94.04780000000098
95,-95.04880000000101
96,-96.04990000000105
97,-97.05040000000106
98,-98.05070000000107
99,-99.05070000000107
100,-100.05090000000108
101,-101.05120000000109
102,-102.05130000000109
103,-103.05130000000109
104,-104.0517000000011
105,-105.05200000000112
106,-106.05250000000113
107,-107.05330000000116
108,-108.0544000000012
109,-109.0546000000012
110,-110.05510000000122
111,-111.05640000000126
112,-112.05690000000128
113,-113.05720000000129
114,-114.05780000000131
115,-115.05800000000131
116,-116.05800000000131
117,-117.05920000000135
118,-118.0604000000014
119,-119.0607000000014
120,-120.06090000000141
121,-121.06180000000144
122,-122.06290000000148
123,-123.06320000000149
124,-124.0637000000015
125,-125.06490000000154
126,-126.06540000000156
127,-127.06560000000157
128,-128.06560000000155
129,-129.06590000000156
130,-130.06890000000166
131,-131.06920000000167
132,-132.0699000000017
133,-133.0699000000017
134,-134.0699000000017
135,-135.0702000000017
136,-136.0703000000017
137,-137.07060000000172
138,-138.07070000000172
139,-139.07090000000173
140,-140.07120000000174
141,-141.07170000000175
142,-142.0729000000018
143,-143.0732000000018
144,-144.0732000000018
145,-145.07450000000185
146,-146.07500000000186
147,-147.07530000000187
148,-148.07540000000188
149,-149.07560000000188
150,-150.0757000000019
151,-151.0757000000019
152,-152.0760000000019
153,-153.0762000000019
154,-154.07730000000194
155,-155.07730000000194
156,-156.07740000000194
157,-157.07750000000195
158,-158.07790000000196
159,-159.078800000002
