Episode,Cumulative
1,-1.0002133333333334
2,-2.00214
3,-3.003793333333335
4,-4.0052333333333365
5,-5.005746666666669
6,-6.005946666666668
7,-7.005946666666668
8,-8.00676
9,-9.00811333333333
10,-10.00811333333333
11,-11.009619999999995
12,-12.01058666666666
13,-13.010999999999992
14,-14.011399999999991
15,-15.01217999999999
16,-16.012506666666656
17,-17.012606666666656
18,-18.01364666666666
19,-19.014773333333327
20,-20.015726666666662
21,-21.01638
22,-22.01648
23,-23.016693333333336
24,-24.016793333333336
25,-25.01740666666667
26,-26.018700000000006
27,-27.01901333333334
28,-28.01965333333334
29,-29.021520000000013
30,-30.02208666666668
31,-31.02272666666668
32,-32.022726666666685
33,-33.02388000000004
34,-34.02430666666672
35,-35.02494666666673
36,-36.02494666666673
37,-37.025373333333405
38,-38.02621333333342
39,-39.027153333333445
40,-40.03130000000019
41,-41.03191333333354
42,-42.03191333333354
43,-43.03232666666688
44,-44.033680000000246
45,-45.03442000000026
46,-46.03641333333363
47,-47.0401733333337
48,-48.04333333333374
49,-49.043433333333745
50,-50.044146666667096
51,-51.04654000000047
52,-52.04976000000053
53,-53.05020000000054
54,-54.05075333333387
55,-55.0534200000006
56,-56.0553266666673
57,-57.058160000000676
58,-58.05828666666734
59,-59.058386666667346
60,-60.06292666666742
61,-61.06493333333411
62,-62.067753333334174
63,-63.06976000000088
64,-64.07310000000092
65,-65.07643333333432
66,-66.07701333333432
67,-67.07936000000103
68,-68.08011333333438
69,-69.08011333333438
70,-70.08156666666775
71,-71.0822800000011
72,-72.08249333333444
73,-73.0841466666678
74,-74.08564000000115
75,-75.08614000000117
76,-76.08716666666785
77,-77.0892266666679
78,-78.0892266666679
79,-79.09176000000126
80,-80.09456666666799
81,-81.09508000000133
82,-82.10043333333476
83,-83.10076000000143
84,-84.10107333333477
85,-85.10316666666814
86,-86.10318000000147
87,-87.10328000000148
88,-88.10572666666819
89,-89.10604000000153
90,-90.10776666666824
91,-91.10849333333492
92,-92.11238666666834
93,-93.11238666666834
94,-94.11288666666836
95,-95.11486666666839
96,-96.1152666666684
97,-97.11941333333516
98,-98.1204133333352
99,-99.1208133333352
100,-100.12344000000195
101,-101.12384000000196
102,-102.12786000000206
103,-103.1284133333354
104,-104.1312066666688
105,-105.13150666666881
106,-106.13150666666881
107,-107.13212000000216
108,-108.13252000000217
109,-109.13292000000219
110,-110.13313333333552
111,-111.1347866666689
112,-112.13575333333559
113,-113.13575333333559
114,-114.1368933333356
115,-115.13814666666897
116,-116.13844666666898
117,-117.13908666666899
118,-118.139286666669
119,-119.14008666666902
120,-120.14028666666903
121,-121.14100000000238
122,-122.14232666666908
123,-123.1442066666691
124,-124.14472000000245
125,-125.14492000000246
126,-126.14627333333583
127,-127.1470000000025
128,-128.14825333333587
129,-129.14825333333587
130,-130.14932000000255
131,-131.1510133333359
132,-132.15164000000257
133,-133.1518533333359
134,-134.15228000000258
135,-135.1526800000026
136,-136.1526800000026
