Episode,Cumulative
1,-1.0002133333333334
2,-2.0021266666666664
3,-3.0036533333333355
4,-4.006120000000006
5,-5.006120000000006
6,-6.006220000000006
7,-7.006820000000005
8,-8.008233333333335
9,-9.009633333333332
10,-10.010559999999996
11,-11.010959999999995
12,-12.011373333333328
13,-13.012073333333326
14,-14.012373333333326
15,-15.012473333333325
16,-16.01471333333332
17,-17.016339999999985
18,-18.016439999999985
19,-19.016839999999984
20,-20.019153333333314
21,-21.02137999999998
22,-22.022193333333313
23,-23.022806666666646
24,-24.02523333333331
25,-25.02523333333331
26,-26.02617333333331
27,-27.026899999999976
28,-28.027099999999976
29,-29.02843999999998
30,-30.030193333333315
31,-31.032033333333317
32,-32.03203333333332
33,-33.03392666666667
34,-34.034640000000024
35,-35.03660666666673
36,-36.03702000000007
37,-37.03743333333341
38,-38.043173333333584
39,-39.04408666666694
40,-40.04968000000042
41,-41.05069333333378
42,-42.05274666666717
43,-43.05326000000051
44,-44.05670000000061
45,-45.05784000000063
46,-46.0626866666674
47,-47.06462666666745
48,-48.069473333334216
49,-49.07160000000094
50,-50.0725133333343
51,-51.07466666666769
52,-52.07572000000104
53,-53.079426666667786
54,-54.07954000000112
55,-55.08065333333448
56,-56.0819333333345
57,-57.08316000000119
58,-58.08505333333456
59,-59.08628000000125
60,-60.086380000001256
61,-61.08742000000128
62,-62.08843333333464
63,-63.08938666666799
64,-64.09484000000141
65,-65.09535333333476
66,-66.09605333333478
67,-67.0995466666682
68,-68.10030000000154
69,-69.1013133333349
70,-70.10224000000159
71,-71.1024400000016
72,-72.10285333333493
73,-73.10469333333498
74,-74.10572000000167
75,-75.10582000000167
76,-76.10896000000176
77,-77.11130000000182
78,-78.11130000000182
79,-79.11191333333517
80,-80.11380666666852
81,-81.11834666666866
82,-82.11904666666868
83,-83.1196466666687
84,-84.12124666666875
85,-85.12426000000218
86,-86.12426000000218
87,-87.12658666666891
88,-88.12714000000224
89,-89.12858000000227
90,-90.12978000000231
91,-91.13008000000232
92,-92.13008000000232
93,-93.13048000000234
94,-94.13190666666904
95,-95.13242000000238
96,-96.13343333333574
97,-97.13446000000243
98,-98.13588666666914
99,-99.13794000000253
100,-100.13886666666922
101,-101.13896666666922
102,-102.13968000000257
103,-103.13988000000258
104,-104.14090666666927
105,-105.14272000000265
106,-106.14293333333599
107,-107.14518666666937
108,-108.14720000000277
109,-109.14720000000277
110,-110.14821333333613
111,-111.14872666666948
112,-112.14934000000282
113,-113.14964000000283
114,-114.1510933333362
115,-115.15200666666956
116,-116.15360666666962
117,-117.15360666666962
118,-118.15432000000297
119,-119.15452000000298
120,-120.15563333333634
121,-121.15634666666969
122,-122.15684666666971
123,-123.15816000000308
124,-124.16078666666982
125,-125.16130000000317
126,-126.1629400000032
127,-127.1630400000032
128,-128.16496666666995
129,-129.16732000000334
130,-130.16742000000335
131,-131.16764666667
132,-132.17032666667006
133,-133.1706400000034
134,-134.17335333333682
135,-135.17365333333683
136,-136.17498000000353
137,-137.1758066666702
138,-138.17810000000358
139,-139.17891333333694
140,-140.18608666667043
141,-141.18618666667044
142,-142.18930000000387
143,-143.19002666667055
144,-144.19444666667064
145,-145.19870666667072
146,-146.2011600000041
147,-147.2020866666708
148,-148.20672000000422
149,-149.20838666667092
150,-150.22620666667137
151,-151.23399333333822
152,-152.2419466666717
153,-153.24234666667172
154,-154.2440533333384
155,-155.24569333333844
156,-156.2464066666718
157,-157.24940000000518
158,-158.24981333333852
159,-159.25002666667186
160,-160.25322000000526
161,-161.256626666672
162,-162.25828000000536
163,-163.26388666667216
164,-164.2669933333389
165,-165.2669933333389
166,-166.27268000000566
167,-167.27502000000572
168,-168.27976000000587
169,-169.28036000000589
170,-170.28610666667268
171,-171.28746000000604
172,-172.29094000000612
173,-173.2919666666728
174,-174.29514666667288
175,-175.29616000000624
176,-176.30034000000634
177,-177.30252000000638
178,-178.30456000000643
179,-179.31166000000658
180,-180.3137866666733
181,-181.3184933333401
182,-182.31930666667344
183,-183.32261333334017
184,-184.32332666667352
185,-185.32496666667356
186,-186.32598000000692
187,-187.32608000000693
188,-188.33190000000707
189,-189.33384000000711
190,-190.33424000000713
191,-191.33548000000715
192,-192.33634666667382
193,-193.33720000000716
194,-194.33900000000722
195,-195.3403133333406
196,-196.34304666667396
197,-197.3471533333407
198,-198.34746666667405
199,-199.3476800000074
200,-200.3497066666741
201,-201.35000666667412
202,-202.35267333334085
203,-203.35986000000767
204,-204.3676333333412
205,-205.37164000000794
206,-206.3771733333414
207,-207.37882666667477
208,-208.38224666667483
209,-209.38286000000818
210,-210.3831600000082
211,-211.38903333334164
212,-212.39036000000834
213,-213.39311333334174
214,-214.39435333334177
215,-215.3946666666751
216,-216.4027200000086
217,-217.4223266666757
218,-218.42406666667574
219,-219.43891333334275
220,-220.44372000000953
221,-221.44952000000964
222,-222.45448000000974
223,-223.45990000000987
224,-224.46663333334337
225,-225.47050000001013
226,-226.47537333334355
227,-227.47620000001024
228,-228.4788333333436
229,-229.48868000001045
230,-230.49609333334394
231,-231.50933333334427
232,-232.52072666667786
233,-233.52488666667793
234,-234.52656666667795
235,-235.5436866666783
236,-236.54532666667833
237,-237.54552666667834
238,-238.54842000001173
239,-239.56331333334535
240,-240.5665800000121
241,-241.57300666667888
242,-242.58393333334573
243,-243.59234666667925
244,-244.5962066666793
245,-245.59724666667933
246,-246.6033800000128
247,-247.63268000001344
248,-248.63508666668014
249,-249.6449466666803
250,-250.65567333334715
251,-251.6583533333472
252,-252.67878666668082
253,-253.74634666668223
254,-254.75714666668242
255,-255.77117333334937
256,-256.92350666668574
257,-257.93166000001753
258,-258.95108666668057
259,-259.96969333334397
260,-260.98108000000855
261,-261.9974000000055
262,-263.0076333333369
263,-264.04355999999734
264,-265.0564599999949
265,-266.0567599999948
266,-267.0605199999942
267,-268.08634666665637
268,-269.13208666664735
269,-270.18778666663616
270,-271.22213999996256
271,-272.2292933332946
272,-273.27273999995344
273,-274.4028199999293
274,-275.42734666659106
275,-276.5451399999022
276,-277.60441333322296
277,-276.64187999988275
278,-277.65981333321264
279,-278.69044666654014
280,-277.70286666653766
281,-278.7269133331998
282,-277.7459466665294
283,-278.74993333319543
284,-279.7987333331867
285,-280.85832666650805
286,-281.9705333331531
287,-283.2099733331077
288,-284.22500666643793
289,-285.2829066664266
290,-286.33419333308353
291,-287.421219999734
292,-288.4598066663929
293,-289.49492666638633
294,-290.6467133330236
295,-291.7256199996766
296,-292.78401333299865
297,-293.91395999964016
298,-295.18911333291913
299,-296.3108866662278
300,-297.694253332821
301,-298.69709999948725
302,-299.7092266661517
303,-298.7605999994753
304,-299.8265066661296
305,-300.84919333279174
306,-302.0089866660938
307,-303.04975333275235
308,-304.07239333274794
309,-305.0812333327462
310,-304.1228199994048
311,-305.1249599994043
312,-306.1395399994016
313,-307.16871999939605
314,-306.18163999939344
315,-307.1865733327258
316,-308.5057466659976
317,-307.7049866659583
318,-308.71035999929063
319,-309.85472666592875
320,-308.91828666591624
321,-309.97361333257265
322,-311.0006599992344
323,-312.011026665899
324,-313.01319333256527
325,-314.3217199991724
326,-313.4761133324735
327,-312.6836266657655
328,-311.82863999907
329,-312.8981999990568
330,-313.91975999905287
331,-315.0186799990338
332,-316.08804666568636
333,-317.0955466656849
334,-316.1468399990083
335,-317.15725999900627
336,-318.1649733323381
337,-319.1815799990016
338,-320.1899733323334
339,-321.2142999989952
340,-322.21675333232804
341,-323.2758466656503
342,-324.56223333226126
343,-325.6924466655687
344,-326.69747333223455
345,-328.1111266654875
346,-329.12102666548583
347,-330.13252666548374
348,-331.3459999987765
349,-330.39729333210073
350,-331.42717333209566
351,-332.42801333209553
352,-331.4710866654207
353,-332.5097199987474
354,-333.52373333207845
355,-334.52447333207834
356,-335.6371199987238
357,-336.75231333203476
358,-337.770019998698
359,-338.99171999865587
360,-338.558846665212
361,-337.62443333186616
362,-338.6399599985298
363,-337.7523599985079
364,-336.7768133318368
365,-337.82151999849486
366,-338.8229866651613
367,-339.8236266651612
368,-340.8297266651601
369,-341.8307399984932
370,-342.83167999849303
371,-343.8348866651591
372,-344.83960666515816
373,-345.84397333182386
374,-346.8533466651552
375,-347.8550266651549
376,-348.86165999848686
377,-349.86490666515294
378,-350.891346665148
379,-351.9016199984795
380,-352.92398666514185
381,-353.9264666651414
382,-354.92871999847426
383,-355.92964666514075
384,-356.9611199984677
385,-357.9612199984677
386,-358.9675466651332
387,-359.9706999984659
388,-360.9740533317985
389,-361.9805399984639
390,-362.9834933317966
391,-363.98359333179656
392,-364.9934799984611
393,-365.9983133317935
394,-367.0038866651258
395,-368.0069933317919
396,-369.0199999984559
397,-370.02262666512195
398,-371.0269999984545
399,-372.0288533317875
400,-373.07631333177824
401,-372.0807599984441
402,-373.3093399984011
403,-374.4050733317162
404,-373.6379066650053
405,-375.06165333159254
406,-374.2507666648926
407,-375.3741999982023
408,-376.4029466648636
409,-377.4146333315281
410,-376.43260666485804
411,-377.45210666485434
412,-378.49526666484576
413,-379.65725999814856
414,-380.80717999811986
415,-380.41857999800396
416,-379.42710666466894
417,-378.5069999979868
418,-377.52223333131695
419,-376.53355333131475
420,-377.5428599979797
421,-378.57172666464044
422,-377.59131333130296
423,-379.1053466645385
424,-378.13470666453304
425,-379.29807333116867
426,-378.85027333106217
427,-377.86403333105943
428,-376.8999933310519
429,-375.91601333104853
430,-374.99378666436667
431,-376.1119666643443
432,-377.15636666433596
433,-376.1721399976665
434,-377.21498666432507
435,-376.2609199976495
436,-377.36189333096405
437,-378.5466466642614
438,-379.58729333092015
439,-380.5915266642527
440,-382.01090666417133
441,-381.0110066641713
442,-380.0169799975034
443,-379.0507933308299
444,-378.07052666415933
445,-379.079079997491
446,-380.4320399974233
447,-379.59885333072464
448,-379.3192066639227
449,-378.3858133305764
450,-377.3920333305751
451,-378.45541999722934
452,-377.46962666389305
453,-376.61176666386774
454,-375.6592066638583
455,-376.68523333052
456,-375.7701266638366
457,-376.9424333304718
458,-376.1097733304394
459,-377.22575333041834
460,-378.2801133304074
461,-379.3448599970617
462,-378.49785333036436
463,-377.51153999702836
464,-376.54979333035413
465,-377.63081999700523
466,-377.1030999969126
467,-378.351953330197
468,-379.58740666348456
469,-380.60919999681374
470,-381.6333799968086
471,-380.77033333011434
472,-379.94515999674536
473,-380.97640666340595
474,-380.0897866633848
475,-379.16202666337074
476,-378.240073330022
477,-377.41767332998694
478,-376.81894666324405
479,-375.93508666322253
480,-374.93729332988886
481,-373.9987599965438
482,-375.0776199965291
483,-374.0947799965259
484,-375.52451332977705
485,-374.6262666630917
