update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,30.410888078650277,67,-1.0009855722839183,0.0015387252601730724,-1.0087066888809204,-1.0,10.051136363636363,14.06731781566264,1.0,83.0,1.3611864149570465,-0.036883254535496235,0.2768933027982712,0.10937785170972347,0.11068946660612253,-1.0009855722839183,0.0015387252601730724,-1.0087066888809204,-1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,30.602834515255392,134,-1.001494942751146,0.0016974673187932908,-1.0095000267028809,-1.0,14.62406015037594,15.480087380880322,1.0,92.0,1.3148081302642822,-0.11864600703120232,0.05373889300972223,0.062349206767976284,0.11371451774242863,-1.001494942751146,0.0016974673187932908,-1.0095000267028809,-1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,30.118678039150016,202,-1.0027170610427856,0.0033769620019588483,-1.01993989944458,-1.0,25.493333333333332,30.44705714660924,1.0,178.0,1.2761402130126953,-0.06346788862720132,-0.01188764296239242,0.03882758948020637,0.06830417966157543,-1.0027170610427856,0.0033769620019588483,-1.01993989944458,-1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,30.047301255553357,270,-1.0050046959438839,0.00491420545872796,-1.0193666219711304,-1.0005066394805908,45.432432432432435,43.69398532455848,5.0,168.0,1.2436640858650208,-0.04266324266791344,-0.04803070705384016,0.020914100750815123,0.04825197063281283,-1.0050046959438839,0.00491420545872796,-1.0193666219711304,-1.0005066394805908
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,30.46576739761338,337,-1.0073949918150902,0.006405723957594537,-1.0211466550827026,-1.0005066394805908,66.25,56.406449099371606,5.0,193.0,1.2339719235897064,-0.016394782694987953,-0.02712115808390081,0.009027941297972575,0.034845096161209926,-1.0073949918150902,0.006405723957594537,-1.0211466550827026,-1.0005066394805908
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,30.030690382650963,405,-1.0158100053668022,0.010814970312360197,-1.0475002527236938,-1.003013253211975,142.5,98.41112741961653,29.0,432.0,1.2190579622983932,-0.009934085072018206,-0.007552162278443575,0.005639310940750875,0.01693018971362466,-1.0158100053668022,0.010814970312360197,-1.0475002527236938,-1.003013253211975
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,30.402210942062716,473,-1.0182325094938278,0.013165102443511307,-1.0475002527236938,-1.0003266334533691,164.125,119.28373474619245,4.0,432.0,1.2267236113548279,-0.009117765061091632,-0.0006567487580468878,0.005818111378175672,0.03391545027526809,-1.0182325094938278,0.013165102443511307,-1.0475002527236938,-1.0003266334533691
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,30.39384643268671,540,-1.0203321129083633,0.01669360299280914,-1.0658271312713623,-1.0003266334533691,182.1875,152.78629632185604,4.0,611.0,1.2035577595233917,-0.006346304668113589,-0.012562299496494234,0.003848836917313747,0.022784192841621802,-1.0203321129083633,0.01669360299280914,-1.0658271312713623,-1.0003266334533691
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,30.625040742042614,607,-0.904623419046402,0.4745400205906176,-1.0658271312713623,0.9321461915969849,265.75,176.53735440410338,33.0,623.0,1.2029579728841782,-0.0011901599391421769,-0.006240048649488017,0.001920994724969205,0.017146994834594212,-0.904623419046402,0.4745400205906176,-1.0658271312713623,0.9321461915969849
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,30.319331818112893,675,-0.9103559851646423,0.47618499486568966,-1.075753927230835,0.9321461915969849,317.375,205.65075826507424,48.0,694.0,1.2104815691709518,-0.00636400804069126,0.0034832154124160297,0.0032175515589187853,0.023277616823743352,-0.9103559851646423,0.47618499486568966,-1.075753927230835,0.9321461915969849
11,22528,30.09822148290056,743,-0.790582686662674,0.648370775675518,-1.075753927230835,0.9321461915969849,364.375,219.08214070297925,56.0,762.0,1.2305082827806473,-0.0019077836332144216,-0.0063450640882365406,0.0013395403620961588,0.02575564477007148,-0.790582686662674,0.648370775675518,-1.075753927230835,0.9321461915969849
12,24576,30.093759563008657,811,-0.7896526902914047,0.6480352463469409,-1.075753927230835,0.9321461915969849,356.125,224.66888831122122,56.0,762.0,1.2796314358711243,-0.0003479553706711158,0.00586324161849916,0.0005535269710890134,0.02187093437244427,-0.7896526902914047,0.6480352463469409,-1.075753927230835,0.9321461915969849
13,26624,30.171604968829808,879,-0.9106127247214317,0.47281784037374036,-1.0932074785232544,0.9153393507003784,321.375,341.1735033307833,4.0,844.0,1.2641755193471909,-0.014928757445886731,0.011505762755405158,0.008650466101244092,0.024350235073471685,-0.9106127247214317,0.47281784037374036,-1.0932074785232544,0.9153393507003784
14,28672,30.16449227423002,946,-0.9073564410209656,0.47174272228259895,-1.0932074785232544,0.9153393507003784,289.8125,314.95539738786823,4.0,844.0,1.2646331638097763,-0.00442744889005553,0.00027499463612912223,0.0019812324262602488,0.019757181396420423,-0.9073564410209656,0.47174272228259895,-1.0932074785232544,0.9153393507003784
15,30720,30.27842621454055,1014,-0.9048135057091713,0.47100271524189413,-1.0932074785232544,0.9153393507003784,267.0,307.0262610917835,4.0,844.0,1.2732301205396652,0.0004993311958969571,0.00014862040461594006,0.0006757139904038922,0.009322603000681547,-0.9048135057091713,0.47100271524189413,-1.0932074785232544,0.9153393507003784
16,32768,30.532522787139094,1081,-1.0393068715929985,0.03318104181311658,-1.1069741249084473,-1.0003000497817993,351.0,297.7620694447162,4.0,959.0,1.2682740688323975,-0.0068346596272022,0.003875024296576157,0.005686540112947114,0.03005081418668531,-1.0393068715929985,0.03318104181311658,-1.1069741249084473,-1.0003000497817993
17,34816,30.60790684863366,1148,-0.9248823635280132,0.46898874279653296,-1.1069741249084473,0.8877857327461243,445.9375,306.74917863581965,17.0,1013.0,1.2743478864431381,0.00018194633594248444,-0.011874819989316165,0.0012681157313636504,0.013411264776003969,-0.9248823635280132,0.46898874279653296,-1.1069741249084473,0.8877857327461243
18,36864,29.868548982352358,1217,-0.926210280507803,0.46952536768223346,-1.1213676929473877,0.8877857327461243,458.5,328.2729428387299,17.0,1092.0,1.2826516777276993,-0.0030108075370662846,0.0040734285284997895,0.0019300593612570083,0.019208868597208092,-0.926210280507803,0.46952536768223346,-1.1213676929473877,0.8877857327461243
19,38912,30.55755831539089,1284,-0.9235719181597233,0.4687905920672414,-1.1213676929473877,0.8877857327461243,435.25,324.56037573924516,17.0,1092.0,1.2750210911035538,-0.003375950289409957,0.002818966120685218,0.0019636417891888414,0.04862938140940341,-0.9235719181597233,0.4687905920672414,-1.1213676929473877,0.8877857327461243
20,40960,30.166917324987974,1352,-0.9306849502027035,0.47177848542765977,-1.1345276832580566,0.8877857327461243,500.3125,433.3240298480457,3.0,1206.0,1.2458905130624771,-0.007191539101768285,0.0032281725962093333,0.003730189819179941,0.031063682827203898,-0.9306849502027035,0.47177848542765977,-1.1345276832580566,0.8877857327461243
21,43008,30.456780522531353,1419,-0.9353537298738956,0.47282872257798325,-1.1345276832580566,0.8877857327461243,541.25,416.4355442322377,3.0,1206.0,1.2547391802072525,-0.0002816401611198671,-0.009710059850476682,0.0006678532793102931,0.010351341520566694,-0.9353537298738956,0.47282872257798325,-1.1345276832580566,0.8877857327461243
22,45056,30.290176571987153,1486,-1.0662683621048927,0.0475855678626086,-1.1345276832580566,-1.0002000331878662,593.3125,425.8272417820988,3.0,1206.0,1.2607900202274323,-0.0033277798356721178,-0.0016686176204530057,0.0019471923897071974,0.02604077268930409,-1.0662683621048927,0.0475855678626086,-1.1345276832580566,-1.0002000331878662
23,47104,30.077551730552777,1555,-1.0662683621048927,0.0475855678626086,-1.1345276832580566,-1.0002000331878662,593.3125,425.8272417820988,3.0,1206.0,1.3095207065343857,-7.577609903819393e-05,0.0018362703194725327,2.6608704501995817e-05,0.005065325609034694,-1.0662683621048927,0.0475855678626086,-1.1345276832580566,-1.0002000331878662
24,49152,30.11281824162743,1623,-1.0592495650053024,0.04441270948676308,-1.1285476684570312,-1.0003999471664429,528.625,396.75053166315985,5.0,1139.0,1.2962780445814133,-0.009680989955086261,0.009298359596868977,0.006588921954971738,0.020288954540714936,-1.0592495650053024,0.04441270948676308,-1.1285476684570312,-1.0003999471664429
25,51200,29.781096980464305,1691,-1.0351431369781494,0.039735667155982986,-1.1085408926010132,-1.0003999471664429,315.0625,355.3819193399546,5.0,980.0,1.2833638340234756,-0.009561844461131841,-0.00575817417120561,0.0049683300603646785,0.016163225772650967,-1.0351431369781494,0.039735667155982986,-1.1085408926010132,-1.0003999471664429
26,53248,30.312602637083824,1759,-1.0349509939551353,0.039970518869073296,-1.1405009031295776,-1.0038800239562988,311.125,357.48441836673106,35.0,1262.0,1.2782058417797089,-0.011445486976299435,0.0009155190637102351,0.006180771757499315,0.03667310155780356,-1.0349509939551353,0.039970518869073296,-1.1405009031295776,-1.0038800239562988
27,55296,29.970157039480547,1827,-1.0415410548448563,0.04303423758665697,-1.1405009031295776,-1.0038800239562988,369.625,384.8496256656618,35.0,1262.0,1.288161188364029,-0.0013608227272925433,0.0031973573059076443,0.0006565524695361091,0.006374220040570155,-1.0415410548448563,0.04303423758665697,-1.1405009031295776,-1.0038800239562988
28,57344,29.885383192709646,1896,-0.9221689775586128,0.45446443186739394,-1.1405009031295776,0.8307526111602783,420.9375,465.2893546963545,50.0,1526.0,1.2956568449735641,-0.00123249227181077,-0.0009588592401996721,0.0012877484305136022,0.009817937724549692,-0.9221689775586128,0.45446443186739394,-1.1405009031295776,0.8307526111602783
29,59392,30.47330072778849,1963,-0.9314652755856514,0.45668144132271604,-1.1405009031295776,0.8307526111602783,505.5,438.67627585726586,48.0,1526.0,1.2532760351896286,-0.0031854042317718267,0.004432365625689272,0.003840834658149106,0.02295100225161836,-0.9314652755856514,0.45668144132271604,-1.1405009031295776,0.8307526111602783
30,61440,29.885940195718632,2032,-0.9323127940297127,0.4570039032692751,-1.1405009031295776,0.8307526111602783,514.125,447.18939989114233,48.0,1526.0,1.247471883893013,-0.0019622143554443028,-0.012760233483277261,0.0006921064959897194,0.01610805750620255,-0.9323127940297127,0.4570039032692751,-1.1405009031295776,0.8307526111602783
31,63488,30.426414936829747,2099,-0.9323127940297127,0.4570039032692751,-1.1405009031295776,0.8307526111602783,514.125,447.18939989114233,48.0,1526.0,1.2848811000585556,4.655629527405836e-05,-0.005101016256958246,1.1082825494668214e-05,0.003561193115321038,-0.9323127940297127,0.4570039032692751,-1.1405009031295776,0.8307526111602783
32,65536,30.331913255787917,2166,-0.8209491521120071,0.6251169706988112,-1.1124876737594604,0.8307526111602783,635.1875,459.73813453285555,48.0,1533.0,1.2515153586864471,-0.0021601361368084326,-0.0001382195041514933,0.0020222035705046437,0.008483186629296004,-0.8209491521120071,0.6251169706988112,-1.1124876737594604,0.8307526111602783
33,67584,30.735511038277693,2233,-0.8209491521120071,0.6251169706988112,-1.1124876737594604,0.8307526111602783,635.1875,459.73813453285555,48.0,1533.0,1.279140219092369,-0.00010441810809425078,0.00015917760401862324,8.53569019909628e-06,0.002868949338605228,-0.8209491521120071,0.6251169706988112,-1.1124876737594604,0.8307526111602783
34,69632,31.0980272528388,2299,-0.9443587884306908,0.45986403761653977,-1.120647668838501,0.8299989700317383,622.25,426.19354464843786,23.0,1533.0,1.2386891394853592,-0.006412971764802933,0.005140280642081052,0.004046401165396674,0.04308975407394844,-0.9443587884306908,0.45986403761653977,-1.120647668838501,0.8299989700317383
35,71680,30.26202807989521,2367,-0.9443587884306908,0.45986403761653977,-1.120647668838501,0.8299989700317383,622.25,426.19354464843786,23.0,1533.0,1.2743889391422272,-0.0002278083993587643,-0.006040323874913156,2.7362542255104927e-05,0.00838650832811215,-0.9443587884306908,0.45986403761653977,-1.120647668838501,0.8299989700317383
36,73728,30.26525589005385,2434,-0.947231724858284,0.46139156081925,-1.1556541919708252,0.8299989700317383,646.8125,485.67378696379114,8.0,1533.0,1.2538446933031082,-0.002110074296069797,0.0006764420777471969,0.001939939611020236,0.010853188250127821,-0.947231724858284,0.46139156081925,-1.1556541919708252,0.8299989700317383
37,75776,30.7451672810402,2501,-0.947231724858284,0.46139156081925,-1.1556541919708252,0.8299989700317383,646.8125,485.67378696379114,8.0,1533.0,1.2823303192853928,-0.00041121229878626764,-0.0043189506395719945,7.698671595335327e-06,0.0026928356174687,-0.947231724858284,0.46139156081925,-1.1556541919708252,0.8299989700317383
38,77824,30.763386065950886,2567,-0.8323034681379795,0.6312274217627837,-1.1556541919708252,0.8326789140701294,741.0625,531.2958766956036,8.0,1532.0,1.2514449805021286,-0.0023807744291843846,0.0006608459334529471,0.0038780907188993297,0.024963117969217137,-0.8323034681379795,0.6312274217627837,-1.1556541919708252,0.8326789140701294
39,79872,30.338416673233564,2635,-0.8323034681379795,0.6312274217627837,-1.1556541919708252,0.8326789140701294,741.0625,531.2958766956036,8.0,1532.0,1.2761527001857758,-0.0009088581573450938,-0.003590004227589816,2.1016213850089116e-05,0.006083710764691191,-0.8323034681379795,0.6312274217627837,-1.1556541919708252,0.8326789140701294
40,81920,31.2279077393342,2701,-0.711743488907814,0.743649532817413,-1.1556541919708252,0.8334923386573792,784.0625,564.7556406037482,8.0,1533.0,1.2902251929044724,-1.4259079762268811e-05,0.0015814958132978063,0.00014946698865969665,0.006645523870611358,-0.711743488907814,0.743649532817413,-1.1556541919708252,0.8334923386573792
41,83968,30.36352994297562,2768,-0.9489030055701733,0.4633483751816651,-1.1592475175857544,0.8334923386573792,670.125,536.005699013546,2.0,1533.0,1.225987896323204,-0.011215994571102783,0.011639840071438812,0.007995733016286977,0.038476404838894654,-0.9489030055701733,0.4633483751816651,-1.1592475175857544,0.8334923386573792
42,86016,29.765588082560612,2837,-0.8291730433702469,0.6301425855528189,-1.1592475175857544,0.8334923386573792,718.625,575.8426298694809,2.0,1539.0,1.259628802537918,-0.0006419127021217719,-0.015468308585695922,0.0006688061894237762,0.010872921575019304,-0.8291730433702469,0.6301425855528189,-1.1592475175857544,0.8334923386573792
43,88064,29.975834763649264,2905,-0.9421863071620464,0.4603504153180453,-1.157647967338562,0.8304654955863953,607.125,506.7759459317303,2.0,1539.0,1.244269460439682,-0.0029164652187319007,-0.00026110328326467425,0.0012884589395980584,0.01741325721128916,-0.9421863071620464,0.4603504153180453,-1.157647967338562,0.8304654955863953
44,90112,30.337714529404728,2973,-0.9421863071620464,0.4603504153180453,-1.157647967338562,0.8304654955863953,607.125,506.7759459317303,2.0,1539.0,1.2911132723093033,0.00044925770271220244,0.004231611761497334,1.4665064782093395e-05,0.005501541637396161,-0.9421863071620464,0.4603504153180453,-1.157647967338562,0.8304654955863953
45,92160,30.209039854977217,3041,-0.943672988563776,0.4606933975024859,-1.157647967338562,0.8304654955863953,619.875,502.468018260864,2.0,1539.0,1.2808239161968231,-0.002172281203456805,-0.000632539282378275,0.0006358063334346298,0.009525819631649756,-0.943672988563776,0.4606933975024859,-1.157647967338562,0.8304654955863953
46,94208,30.975998924522436,3107,-0.8192329742014408,0.6255110432726403,-1.1252477169036865,0.8333922624588013,625.375,511.831255762092,2.0,1539.0,1.3049781918525696,0.0005691506012226455,0.0011874084375449456,0.0006366532966239902,0.004587426460328545,-0.8192329742014408,0.6255110432726403,-1.1252477169036865,0.8333922624588013
47,96256,30.33324698591608,3174,-0.8199200443923473,0.6253724945307436,-1.1320343017578125,0.8333922624588013,629.3125,469.3392587923473,23.0,1539.0,1.2813607454299927,-0.007408052100799978,0.00849063612986356,0.005002570360375103,0.01524873705394576,-0.8199200443923473,0.6253724945307436,-1.1320343017578125,0.8333922624588013
48,98304,29.571663014584377,3243,-0.8193708695471287,0.6251747686573625,-1.1320343017578125,0.8333922624588013,623.9375,472.25978930430864,23.0,1539.0,1.2811374217271805,-0.0032585803924121137,-0.0033977183629758656,0.0012651938700400933,0.008584088636970742,-0.8193708695471287,0.6251747686573625,-1.1320343017578125,0.8333922624588013
49,100352,30.316377496633137,3311,-0.8290446661412716,0.6292276573879872,-1.164367437362671,0.8333922624588013,710.625,492.603907186088,23.0,1539.0,1.2943924069404602,-0.0018777783843688667,-0.0003059582832065644,0.00066872448110189,0.013180817547279176,-0.8290446661412716,0.6292276573879872,-1.164367437362671,0.8333922624588013
50,102400,30.727383671240247,3378,-0.8271254673600197,0.6288427271953896,-1.164367437362671,0.8333922624588013,694.75,489.5365793278374,23.0,1530.0,1.2824951708316803,0.0015589382346661296,-0.0009350950131192803,0.0012857138053732342,0.01191072983786562,-0.8271254673600197,0.6288427271953896,-1.164367437362671,0.8333922624588013
51,104448,30.22602405396865,3445,-0.8289250656962395,0.62947395791479,-1.164367437362671,0.8333922624588013,709.0625,481.2388269806895,23.0,1530.0,1.2943254709243774,-9.403094736626372e-05,-0.00026015917774202535,0.0006320271866115945,0.007349938557848053,-0.8289250656962395,0.62947395791479,-1.164367437362671,0.8333922624588013
52,106496,30.84923720406544,3512,-0.8294871225953102,0.6288953242701927,-1.164367437362671,0.8325656652450562,711.25,478.1420421799363,23.0,1530.0,1.2940412610769272,-0.00022077401081332937,-0.002628813061164692,0.0012725552091978898,0.009863790049613064,-0.8294871225953102,0.6288953242701927,-1.164367437362671,0.8325656652450562
53,108544,29.599726133943303,3581,-0.47086798399686813,0.8789525091908588,-1.164367437362671,0.8327990770339966,860.375,570.2688921684226,23.0,1530.0,1.2949218302965164,0.0015577917401969898,-0.0050888956466224045,0.0019616939530351374,0.012176700728573235,-0.47086798399686813,0.8789525091908588,-1.164367437362671,0.8327990770339966
54,110592,30.26529726440183,3649,-0.34593670815229416,0.9126068130691648,-1.164367437362671,0.8327990770339966,862.0625,607.7371418580158,43.0,1550.0,1.3045450150966644,-0.001508699412624992,0.004325750895077363,0.0019044909136027854,0.011938382627193779,-0.34593670815229416,0.9126068130691648,-1.164367437362671,0.8327990770339966
55,112640,30.157311889736782,3717,-0.23739057034254074,0.9436335415850178,-1.164367437362671,0.8346924781799316,1008.75,558.2044316377289,90.0,1550.0,1.2735854536294937,0.0019899015605915338,-0.00015089171938598156,0.002701278786844341,0.02493951731833511,-0.23739057034254074,0.9436335415850178,-1.164367437362671,0.8346924781799316
56,114688,30.113381221219086,3785,-0.22794468700885773,0.93502427819057,-1.1141942739486694,0.8346924781799316,924.125,583.3262246590667,90.0,1550.0,1.2683257907629013,-0.002659746694007481,-0.011650885571725667,0.0006653627542618779,0.014129956525401043,-0.22794468700885773,0.93502427819057,-1.1141942739486694,0.8346924781799316
57,116736,30.034255052479352,3853,-0.22794468700885773,0.93502427819057,-1.1141942739486694,0.8346924781799316,924.125,583.3262246590667,90.0,1550.0,1.29207843542099,-0.00040713957878324436,-0.002279989465023391,4.170508191236877e-06,0.0025360776186528957,-0.22794468700885773,0.93502427819057,-1.1141942739486694,0.8346924781799316
58,118784,30.49514770401758,3920,-0.3460063114762306,0.9126540738312602,-1.1141942739486694,0.8346924781799316,861.125,568.7391619846483,90.0,1550.0,1.29980106651783,-0.0007419628236675635,0.0012274083601369057,0.0006646122964184542,0.010872351696149564,-0.3460063114762306,0.9126540738312602,-1.1141942739486694,0.8346924781799316
59,120832,30.68164914555546,3987,-0.22996097058057785,0.9371643063842365,-1.1269009113311768,0.8346924781799316,944.9375,587.734152141723,90.0,1550.0,1.2506811618804932,-0.0018020635325228795,-0.002043396612862125,0.0025933608412742615,0.03436844370325627,-0.22996097058057785,0.9371643063842365,-1.1269009113311768,0.8346924781799316
60,122880,30.98303987025315,4053,-0.34554261714220047,0.9130599700060789,-1.1269009113311768,0.8346924781799316,861.6875,597.4854306539617,90.0,1550.0,1.267918735742569,0.0001386537405778654,0.008850568905472755,0.0013070235313534795,0.020189585036817545,-0.34554261714220047,0.9130599700060789,-1.1269009113311768,0.8346924781799316
61,124928,30.91461069024293,4119,-0.34583256393671036,0.912686325840505,-1.1269009113311768,0.8346924781799316,860.9375,596.5926655547736,90.0,1535.0,1.2851922810077667,0.002391384114162065,-0.004101257363799959,0.001268992808263647,0.006461729828655172,-0.34583256393671036,0.912686325840505,-1.1269009113311768,0.8346924781799316
62,126976,30.639241062716792,4186,-0.3547930419445038,0.9194498295155393,-1.1269009113311768,0.8346924781799316,941.125,520.2428369281023,120.0,1535.0,1.3047573566436768,-0.004194109729724005,0.0035026671102968976,0.0018747168055597285,0.009036687068431436,-0.3547930419445038,0.9194498295155393,-1.1269009113311768,0.8346924781799316
63,129024,30.171875845571943,4254,-0.3424720913171768,0.9095160786101607,-1.1269009113311768,0.8328989744186401,832.25,591.8655358271843,83.0,1535.0,1.2703000754117966,-0.0011128065561933909,-0.0004996988172933925,0.0019358778233709018,0.029652998798161148,-0.3424720913171768,0.9095160786101607,-1.1269009113311768,0.8328989744186401
64,131072,30.43734406943288,4321,-0.10947095602750778,0.9405046743001734,-1.1269009113311768,0.8328989744186401,985.4375,594.0474485205285,83.0,1554.0,1.3006336390972137,0.0014120447194727603,-0.002083278974168934,0.001299754344699977,0.00756300105303671,-0.10947095602750778,0.9405046743001734,-1.1269009113311768,0.8328989744186401
65,133120,30.28060991196535,4389,0.00964483991265297,0.9313661661140237,-1.1034808158874512,0.8328989744186401,1039.8125,591.731275448366,83.0,1554.0,1.3028582334518433,-0.0037016451387898996,-0.0007357481640610786,0.0014641452362411655,0.014697520671382757,0.00964483991265297,0.9313661661140237,-1.1034808158874512,0.8328989744186401
66,135168,30.105492770054784,4457,-0.2316792570054531,0.9372136627992897,-1.1641274690628052,0.8319659233093262,960.4375,601.4277771218669,83.0,1554.0,1.3012518733739853,-0.0022870960347063374,0.011585248401388526,0.0018850048390959273,0.024599243785579046,-0.2316792570054531,0.9372136627992897,-1.1641274690628052,0.8319659233093262
67,137216,30.02095933953722,4525,-0.3411538265645504,0.9087762529886564,-1.1641274690628052,0.8323655128479004,826.0,659.640337608306,25.0,1554.0,1.3048377633094788,-0.003072615945711732,-0.001123999354604166,0.0030920228755348944,0.027878387906309268,-0.3411538265645504,0.9087762529886564,-1.1641274690628052,0.8323655128479004
68,139264,30.50408011158286,4592,-0.3461584486067295,0.9126573368931994,-1.1641274690628052,0.8323655128479004,869.8125,632.3484224252876,25.0,1554.0,1.287103682756424,-0.001173373026176705,-0.007216229510959238,0.0006211995732883224,0.021084511956856053,-0.3461584486067295,0.9126573368931994,-1.1641274690628052,0.8323655128479004
69,141312,30.461308619981217,4659,-0.4617425687611103,0.8723495911285924,-1.1641274690628052,0.8323655128479004,784.9375,630.5169970696667,25.0,1554.0,1.2819727659225464,-0.001677924159594113,-0.0015679039497626945,0.000613319526792111,0.007159358515640493,-0.4617425687611103,0.8723495911285924,-1.1641274690628052,0.8323655128479004
